Title,Author,Secondary Author(s),Illustrator(s),Translator(s),Series Name,State,District,Date of Challenge/Removal,Ban Status,Initiating Action,bookID,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher
Extremely Loud and Incredibly Close,"Foer, Jonathan Safran",,,,,Iowa,Forest City Community School District,October 2023,Banned,Administration,4588,Extremely Loud and Incredibly Close,Jonathan Safran Foer,3.98,0618711651,9780618711659,eng,326,335477,19241,4/4/2006,Mariner Books
Extremely Loud and Incredibly Close,"Foer, Jonathan Safran",,,,,Iowa,Knoxville Community School District,June 2024,Banned,Administration,4588,Extremely Loud and Incredibly Close,Jonathan Safran Foer,3.98,0618711651,9780618711659,eng,326,335477,19241,4/4/2006,Mariner Books
Extremely Loud and Incredibly Close,"Foer, Jonathan Safran",,,,,Iowa,Mid-Prairie Community School District,June 2024,Banned,Administration,4588,Extremely Loud and Incredibly Close,Jonathan Safran Foer,3.98,0618711651,9780618711659,eng,326,335477,19241,4/4/2006,Mariner Books
Extremely Loud and Incredibly Close,"Foer, Jonathan Safran",,,,,Iowa,Nevada Community School District,October 2023,Banned,Administration,4588,Extremely Loud and Incredibly Close,Jonathan Safran Foer,3.98,0618711651,9780618711659,eng,326,335477,19241,4/4/2006,Mariner Books
Extremely Loud and Incredibly Close,"Foer, Jonathan Safran",,,,,Iowa,Winterset Community School District,October 2023,Banned,Administration,4588,Extremely Loud and Incredibly Close,Jonathan Safran Foer,3.98,0618711651,9780618711659,eng,326,335477,19241,4/4/2006,Mariner Books
Extremely Loud and Incredibly Close,"Foer, Jonathan Safran",,,,,Missouri,Cameron R-1 School District,February 2024,Banned by restriction,Administration,4588,Extremely Loud and Incredibly Close,Jonathan Safran Foer,3.98,0618711651,9780618711659,eng,326,335477,19241,4/4/2006,Mariner Books
Extremely Loud and Incredibly Close,"Foer, Jonathan Safran",,,,,North Carolina,Catawba County Schools,November 2023,Banned by restriction,Administration,4588,Extremely Loud and Incredibly Close,Jonathan Safran Foer,3.98,0618711651,9780618711659,eng,326,335477,19241,4/4/2006,Mariner Books
Extremely Loud and Incredibly Close,"Foer, Jonathan Safran",,,,,Texas,Conroe Independent School District,September 2023,Banned,Administration,4588,Extremely Loud and Incredibly Close,Jonathan Safran Foer,3.98,0618711651,9780618711659,eng,326,335477,19241,4/4/2006,Mariner Books
Extremely Loud and Incredibly Close,"Foer, Jonathan Safran",,,,,Wisconsin,Elkhorn Area School District,November 2023,Banned pending investigation,"Informal Challenge, Administration",4588,Extremely Loud and Incredibly Close,Jonathan Safran Foer,3.98,0618711651,9780618711659,eng,326,335477,19241,4/4/2006,Mariner Books
Extremely Loud and Incredibly Close,"Foer, Jonathan Safran",,,,,Wisconsin,Howard-Suamic School District,November 2023,Banned,Administration,4588,Extremely Loud and Incredibly Close,Jonathan Safran Foer,3.98,0618711651,9780618711659,eng,326,335477,19241,4/4/2006,Mariner Books
Extremely Loud and Incredibly Close,"Foer, Jonathan Safran",,,,,Wyoming,Laramie County School District No. 1,June 2024,Banned by restriction,Formal Challenge,4588,Extremely Loud and Incredibly Close,Jonathan Safran Foer,3.98,0618711651,9780618711659,eng,326,335477,19241,4/4/2006,Mariner Books
The Jane Austen Book Club,"Fowler, Karen Joy",,,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration,2152,The Jane Austen Book Club,Karen Joy Fowler,3.08,0452286530,9780452286535,eng,288,57720,3535,4/26/2005,G.P. Putnam's Sons
Who Was Thomas Jefferson?,"Fradin, Dennis Brindell",,"O'Brien, John",,Who Was?,Florida,St. John's County School District,July 2023,Banned by restriction,Administration,8510,Who Was Thomas Jefferson?,Dennis Brindell Fradin/Nancy Harrison/John   O'Brien,4.07,0448431459,9780448431451,eng,103,692,80,7/28/2003,Penguin Workshop
Cold Mountain,"Frazier, Charles",,,,,Florida,Collier County Public Schools,October 2023,Banned,Administration,42647,Cold Mountain,Charles Frazier,3.86,0871136791,9780871136794,eng,356,1088,127,5/16/1997,Atlantic Monthly Press (NYC)
Cold Mountain,"Frazier, Charles",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,42647,Cold Mountain,Charles Frazier,3.86,0871136791,9780871136794,eng,356,1088,127,5/16/1997,Atlantic Monthly Press (NYC)
Cold Mountain,"Frazier, Charles",,,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration,42647,Cold Mountain,Charles Frazier,3.86,0871136791,9780871136794,eng,356,1088,127,5/16/1997,Atlantic Monthly Press (NYC)
Cold Mountain,"Frazier, Charles",,,,,Florida,Union County School District,August 2023,Banned pending investigation,Administration,42647,Cold Mountain,Charles Frazier,3.86,0871136791,9780871136794,eng,356,1088,127,5/16/1997,Atlantic Monthly Press (NYC)
Outlander,"Gabaldon, Diana",,,,Outlander,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,10970,Outlander,Matt Keefe,3.85,184416411X,9781844164110,eng,254,54,5,12/26/2006,Games Workshop(uk)
Outlander,"Gabaldon, Diana",,,,Outlander,Wisconsin,Howard-Suamic School District,November 2023,Banned,Administration,10970,Outlander,Matt Keefe,3.85,184416411X,9781844164110,eng,254,54,5,12/26/2006,Games Workshop(uk)
American Gods,"Gaiman, Neil",,,,American Gods,Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Formal Challenge,4404,American Gods,Neil Gaiman,4.11,0060010606,9780060010607,eng,635,1211,169,6/1/2001,PerfectBound (HarperCollins)
American Gods,"Gaiman, Neil",,,,American Gods,Iowa,Waukee Community School District,June 2024,Banned pending investigation,Administration,4404,American Gods,Neil Gaiman,4.11,0060010606,9780060010607,eng,635,1211,169,6/1/2001,PerfectBound (HarperCollins)
American Gods,"Gaiman, Neil",,,,American Gods,Texas,Conroe Independent School District,December 2023,Banned,Informal Challenge,4404,American Gods,Neil Gaiman,4.11,0060010606,9780060010607,eng,635,1211,169,6/1/2001,PerfectBound (HarperCollins)
American Gods,"Gaiman, Neil",,,,American Gods,Texas,Fort Worth Independent School District,August 2023,Banned pending investigation,Administration,4404,American Gods,Neil Gaiman,4.11,0060010606,9780060010607,eng,635,1211,169,6/1/2001,PerfectBound (HarperCollins)
Neverwhere,"Gaiman, Neil",,,,,Florida,Collier County Public Schools,October 2023,Banned,Administration,14503,Neverwhere,Neil Gaiman,4.17,2290303348,9782290303344,fre,350,105,10,5/17/2001,J'AI LU
Stardust,"Gaiman, Neil",,,,,Florida,Collier County Public Schools,October 2023,Banned,Administration,16793,Stardust,Neil Gaiman,4.08,0061142026,9780061142024,eng,248,283274,11746,8/29/2006,Harper Perennial
Stardust,"Gaiman, Neil",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,16793,Stardust,Neil Gaiman,4.08,0061142026,9780061142024,eng,248,283274,11746,8/29/2006,Harper Perennial
Stardust,"Gaiman, Neil",,,,,Iowa,Cedar Falls Community School District,June 2024,Banned pending investigation,Administration,16793,Stardust,Neil Gaiman,4.08,0061142026,9780061142024,eng,248,283274,11746,8/29/2006,Harper Perennial
Stardust,"Gaiman, Neil",,,,,Iowa,Council Bluffs Community School District,June 2024,Banned pending investigation,Administration,16793,Stardust,Neil Gaiman,4.08,0061142026,9780061142024,eng,248,283274,11746,8/29/2006,Harper Perennial
Stardust,"Gaiman, Neil",,,,,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration,16793,Stardust,Neil Gaiman,4.08,0061142026,9780061142024,eng,248,283274,11746,8/29/2006,Harper Perennial
Stardust,"Gaiman, Neil",,,,,Iowa,Pocahontas Area Community School District,June 2024,Banned,Administration,16793,Stardust,Neil Gaiman,4.08,0061142026,9780061142024,eng,248,283274,11746,8/29/2006,Harper Perennial
Stardust,"Gaiman, Neil",,,,,Wisconsin,Elkhorn Area School District,November 2023,Banned by restriction,"Informal Challenge, Administration",16793,Stardust,Neil Gaiman,4.08,0061142026,9780061142024,eng,248,283274,11746,8/29/2006,Harper Perennial
A Lesson Before Dying,"Gaines, Ernest J.",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,5197,A Lesson Before Dying,Ernest J. Gaines,3.95,0375702709,9780375702709,eng,256,47143,2998,9/28/1997,Vintage
Chronicle of a Death Foretold,"García Márquez, Gabriel",,,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration,23878,Chronicle of a Death Foretold,Gabriel García Márquez/Gregory Rabassa,3.97,140003471X,9781400034710,eng,120,69912,2789,10/7/2003,Vintage
Love in the Time of Cholera,"García Márquez, Gabriel",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,41513,Love in the Time of Cholera,Gabriel García Márquez/Edith Grossman,3.91,0816147175,9780816147175,eng,551,20,1,5/1/1989,Thorndike Press
Love in the Time of Cholera,"García Márquez, Gabriel",,,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration,41513,Love in the Time of Cholera,Gabriel García Márquez/Edith Grossman,3.91,0816147175,9780816147175,eng,551,20,1,5/1/1989,Thorndike Press
One Hundred Years of Solitude,"García Márquez, Gabriel",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,28086,One Hundred Years of Solitude,Gabriel García Márquez/Gregory Rabassa,4.07,0140157514,9780140157512,eng,422,640,65,6/11/1972,Penguin Books Ltd
Sand and Foam,"Gilbran, Lahlil",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,292,Sand and Foam,Kahlil Gibran/جبران خليل جبران,4.08,067943920X,9780679439202,eng,100,3015,217,6/14/2011,Knopf
As the Crow Flies,"Gillman, Melanie",,,,,Florida,St. John's County School District,July 2023,Banned,Administration,7201,As the Crow Flies,Jeffrey Archer,4.10,0312997116,9780312997113,eng,800,16264,621,5/16/2004,St. Martin's Paperbacks
As the Crow Flies,"Gillman, Melanie",,,,,Wisconsin,Elkhorn Area School District,November 2023,Banned pending investigation,"Informal Challenge, Administration",7201,As the Crow Flies,Jeffrey Archer,4.10,0312997116,9780312997113,eng,800,16264,621,5/16/2004,St. Martin's Paperbacks
Howl and Other Poems,"Ginsberg, Allen",,,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration,6295,Howl and Other Poems,Allen Ginsberg/William Carlos Williams,4.13,0872863107,9780872863101,eng,56,85143,1284,1/1/2001,City Lights
Kenang-Kenangan Seorang Geisha (Memoirs of a Geisha),"Golden, Arthur",,,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration,22277,Kenang-Kenangan Seorang Geisha (Memoirs of a Geisha),Arthur Golden,4.11,9833346685,9789833346684,msa,784,28,6,7/1/2006,Marshall Cavendish Editions
Memoirs of a Geisha,"Golden, Arthur",,,,,Florida,Collier County Public Schools,October 2023,Banned,Administration,22278,Memoirs of a Geisha,Arthur Golden,4.11,0701169699,9780701169695,eng,452,57,8,10/5/2000,Chatto & Windus
Memoirs of a Geisha,"Golden, Arthur",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,22278,Memoirs of a Geisha,Arthur Golden,4.11,0701169699,9780701169695,eng,452,57,8,10/5/2000,Chatto & Windus
Memoirs of a Geisha,"Golden, Arthur",,,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration,22278,Memoirs of a Geisha,Arthur Golden,4.11,0701169699,9780701169695,eng,452,57,8,10/5/2000,Chatto & Windus
Memoirs of a Geisha,"Golden, Arthur",,,,,Iowa,Nevada Community School District,October 2023,Banned pending investigation,Administration,22278,Memoirs of a Geisha,Arthur Golden,4.11,0701169699,9780701169695,eng,452,57,8,10/5/2000,Chatto & Windus
Memoirs of a Geisha,"Golden, Arthur",,,,,Iowa,Northeast Community School District,June 2024,Banned pending investigation,Administration,22278,Memoirs of a Geisha,Arthur Golden,4.11,0701169699,9780701169695,eng,452,57,8,10/5/2000,Chatto & Windus
Memoirs of a Geisha,"Golden, Arthur",,,,,Iowa,Norwalk Community School District,October 2023,Banned pending investigation,Administration,22278,Memoirs of a Geisha,Arthur Golden,4.11,0701169699,9780701169695,eng,452,57,8,10/5/2000,Chatto & Windus
Memoirs of a Geisha,"Golden, Arthur",,,,,Iowa,Winterset Community School District,October 2023,Banned,Administration,22278,Memoirs of a Geisha,Arthur Golden,4.11,0701169699,9780701169695,eng,452,57,8,10/5/2000,Chatto & Windus
Lord of the Flies,"Golding, William",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,23352,Lord of the Flies,William Golding,3.68,0812416112,9780812416114,en-US,208,479,57,7/1/1959,Perfection Learning
Lord of the Flies,"Golding, William",,,,,Wisconsin,Elkhorn Area School District,November 2023,Banned pending investigation,"Informal Challenge, Administration",23352,Lord of the Flies,William Golding,3.68,0812416112,9780812416114,en-US,208,479,57,7/1/1959,Perfection Learning
I Never Promised You a Rose Garden,"Green, Hannah",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,45223,I Never Promised You a Rose Garden,Hannah  Green/Joanne Greenberg,3.87,0451131363,9780451131362,eng,256,2,0,3/1/1965,Signet
The Quiet American,"Greene, Graham",,,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration,29639,The Quiet American,Graham Greene/Zadie Smith,3.97,0099478390,9780099478393,eng,198,1344,156,10/7/2004,Vintage Books/Vintage Classics
Changeling,"Gregory, Philippa",,"van Deelen, Fred; Taylor, Sally",,Order of Darkness,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration,28807,Changeling,Roger Zelazny,3.72,0743458192,9780743458191,eng,244,1815,41,1/28/2003,iBooks
The Other Boleyn Girl,"Gregory, Philippa",,,,The Plantagenet and Tudor Novels,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration,31092,The Other Boleyn Girl,Philippa Gregory,4.06,0739427113,9780739427118,eng,664,1165,105,4/21/2001,Scribner
The Other Boleyn Girl,"Gregory, Philippa",,,,The Plantagenet and Tudor Novels,Iowa,Clear Lake Community School District,June 2024,Banned,Administration,31092,The Other Boleyn Girl,Philippa Gregory,4.06,0739427113,9780739427118,eng,664,1165,105,4/21/2001,Scribner
Black Like Me,"Griffin, John Howard",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,42603,Black Like Me,John Howard Griffin,4.13,0451208641,9780451208644,eng,208,53790,2118,5/6/2003,Berkley Books
A Painted House,"Grisham, John",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,45149,A Painted House,John Grisham,3.70,0099416158,9780099416159,eng,466,484,48,9/29/2002,Arrow Books
A Painted House,"Grisham, John",,,,,Iowa,Adel DeSoto Minburn Community School District,June 2024,Banned,Administration,45149,A Painted House,John Grisham,3.70,0099416158,9780099416159,eng,466,484,48,9/29/2002,Arrow Books
The Brethren,"Grisham, John",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,5354,The Brethren,John Grisham,3.73,0385339674,9780385339674,eng,384,76085,1505,12/27/2005,Delta
The Firm,"Grisham, John",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,5358,The Firm,Robin Waterfield/John Grisham,4.01,0582418275,9780582418271,eng,76,540910,3378,2/15/2000,Addison Wesley Publishing Company
The Firm,"Grisham, John",,,,,Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration,5358,The Firm,Robin Waterfield/John Grisham,4.01,0582418275,9780582418271,eng,76,540910,3378,2/15/2000,Addison Wesley Publishing Company
The King of Torts,"Grisham, John",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,5356,The King of Torts,John Grisham,3.68,0385339658,9780385339650,eng,276,68098,1705,12/27/2005,Delta
The Last Juror,"Grisham, John",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,5346,The Last Juror,John Grisham,3.87,0385339682,9780385339681,eng,278,72294,1755,4/25/2006,Delta
The Pelican Brief,"Grisham, John",,,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration,32499,The Pelican Brief,John Grisham,4.00,0385339704,9780385339704,eng,400,340714,1942,4/25/2006,Delta
The Runaway Jury,"Grisham, John",,,,,Florida,Escambia County Public Schools,May 2024,Banned pending investigation,Administration,24192,The Runaway Jury,John Grisham,3.98,0385339690,9780385339698,eng,358,249884,1691,4/25/2006,Delta
The Street Lawyer,"Grisham, John",,,,,Florida,Escambia County Public Schools,May 2024,Banned pending investigation,Administration,5351,The Street Lawyer,John Grisham,3.83,0385339097,9780385339094,eng,384,89947,1813,4/26/2005,Bantam
Water for Elephants,"Gruen, Sara",,,,,Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Florida,Alachua County Public Schools,April 2024,Banned pending investigation,Formal Challenge,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Florida,Collier County Public Schools,October 2023,Banned,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Florida,Duval County Public Schools,December 2023,Banned pending investigation,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Florida,Highlands School District,December 2023,Banned,Formal Challenge,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Florida,Lake County Schools,February 2024,Banned pending investigation,Unclear,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Florida,Leon County Schools,July 2023,Banned,Formal Challenge,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Florida,Nassau County School District,November 2023,Banned,Formal Challenge,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Florida,Okaloosa County School District,August 2023,Banned,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Florida,Pinellas County Schools,July 2023,Banned by restriction,Formal Challenge,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Florida,Polk County Public Schools,June 2024,Banned pending investigation,Formal Challenge,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Florida,Santa Rosa County Schools,October 2023,Banned pending investigation,Formal Challenge,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Florida,School District of Manatee County,October 2023,Banned,Unclear,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Florida,Seminole County Public Schools,April 2024,Banned,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Idaho,West Ada School District,December 2023,Banned,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Iowa,Ankeny Community School District,June 2024,Banned pending investigation,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Iowa,Boone Community School District,June 2024,Banned,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Iowa,Cardinal Community School District,June 2024,Banned,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Iowa,Carlisle Community School District,October 2023,Banned,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Iowa,Cedar Falls Community School District,June 2024,Banned pending investigation,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Iowa,Central Lyon Community School District,October 2023,Banned,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Iowa,Central Springs School District,October 2023,Banned,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Iowa,Chariton Community School District,June 2024,Banned pending investigation,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Iowa,Clarinda Community School District,June 2024,Banned,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Iowa,Council Bluffs Community School District,June 2024,Banned pending investigation,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Iowa,Denver Community School District,June 2024,Banned,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Iowa,Eddyville-Blakesburg-Fremont Community School District,June 2024,Banned,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Iowa,Estherville Lincoln Central Community School District,October 2023,Banned,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Iowa,Gilbert Community School District,June 2024,Banned,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Iowa,Grundy Center Community School District,June 2024,Banned,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Iowa,Highland Community School District,October 2023,Banned,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Iowa,Indianola Community School District,October 2023,Banned,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Iowa,Iowa City Community School District,October 2023,Banned pending investigation,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Iowa,Lake Mills Community School District,June 2024,Banned,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Iowa,Linn-Mar Community School District,June 2024,Banned pending investigation,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Iowa,Louisa-Muscatine Community School District,October 2023,Banned pending investigation,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Iowa,Maquoketa Valley Community School District,June 2024,Banned,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Iowa,Melcher-Dallas Community School District,December 2023,Banned pending investigation,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Iowa,Mid-Prairie Community School District,June 2024,Banned,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Iowa,Missouri Valley Community School District,June 2024,Banned,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Iowa,Montezuma School District,June 2024,Banned,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Iowa,Nodaway Valley Community School District,June 2024,Banned,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Iowa,Northeast Community School District,June 2024,Banned pending investigation,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Iowa,Northwood Kensett Community School District,October 2023,Banned,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Iowa,Norwalk Community School District,October 2023,Banned pending investigation,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Iowa,Oskaloosa Community School District,October 2023,Banned,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Iowa,Ottumwa Community School District,January 2024,Banned,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Iowa,River Valley Community School District,June 2024,Banned,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
Water for Elephants,"Gruen, Sara",,,,,Iowa,Roland-Story Community School District,June 2024,Banned,Administration,43641,Water for Elephants,Sara Gruen,4.09,1565125606,9781565125605,eng,335,1260027,52759,5/1/2007,Algonquin Books
